index,topic_general,topic_detail,claim,evidence,evidence_type,pair,source_name,source_logo,image
0,CT,Global Warming,Scientists have teamed up to push a fake story about human-caused climate change just to get more funding for their research.,"A study suggests that summers in Britain from 21 to 50AD were hotter than previously thought, being an average temperature of 1 degree celsius hotter than today.",Not Anecdotal,1,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
1,CT,Global Warming,Scientists have teamed up to push a fake story about human-caused climate change just to get more funding for their research.,"Records from a new archeological dig site in Spain suggests that the area had an especially hot summer in the year 30AD, reaching a temperature 1 degree celcius higher than recent average temperatures. ",Anecdotal,1,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
2,CT,Global Warming,Scientists aren't conspiring to say that climate change is caused by humans just to get more funding for their research.,Exxon made ‘breathtakingly’ accurate climate predictions in 1970s and 80s.,Not Anecdotal,2,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
3,CT,Global Warming,Scientists aren't conspiring to say that climate change is caused by humans just to get more funding for their research.,"A climate scientist that worked for Exxon in the 1980's stated in an interview that, ""they knew what was going on. The problem is at the same time they were paying people to put out misinformation.""",Anecdotal,2,Moment Magazine,2.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
4,CT,Vaccine,Governments hid the harmful effects of COVID vaccines because they just wanted everyone to go back to work.,"A Swiss study found heart injuries from COVID to be over 3,000 times higher than the rates reported by other sources.",Not Anecdotal,1,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
5,CT,Vaccine,Governments hid the harmful effects of COVID vaccines because they just wanted everyone to go back to work.,A postal worker in Virginia reported experiencing chest pain just a few days after taking the COVID vaccine.,Anecdotal,1,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
6,CT,Vaccine,Governments didn't hide anything about the COVID vaccines. It just turns out that harmful effects are pretty rare.,A nationwide study by the NCAA concluded that student-athletes who are fully vaccinated for COVID don't experience negative side effects any more often than unvaccinated students.,Not Anecdotal,2,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
7,CT,Vaccine,Governments didn't hide anything about the COVID vaccines. It just turns out that harmful effects are pretty rare.,A long-distance runner in Oregon who received the first four rounds of the COVID vaccine says she hasn't had any negative side effects from them.,Anecdotal,2,Healthy Life News,19.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
8,CT,Healthcare,"Doctors and drug companies push new treatments on people because they are the most profitable, even when they don't actually work.","Data gathered from US hospital systems shows that the average costs of medical care have risen 48% over the past decade, even while average life expectancy has gone down.",Not Anecdotal,1,Healthcare Tribune,8.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
9,CT,Healthcare,"Doctors and drug companies push new treatments on people because they are the most profitable, even when they don't actually work.","A New York woman says her late husband may have lived longer after a cancer diagnosis if the healthcare industry didn't ""push unnecessary"" chemotherapy on him as a cure.",Anecdotal,1,Healthcare Tribune,8.png,https://images.unsplash.com/photo-1597440658768-f3ffdf64223c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80
